,start,end,instance
0,2020-08-01 00:00:00+00:00,2020-11-09 00:05:20.441591+00:00,i3.large
1,2020-08-01 00:00:00+00:00,2020-11-09 00:11:37.472064+00:00,t2.medium
2,2020-08-01 00:00:00+00:00,2020-11-09 00:17:07.799170+00:00,t3a.xlarge
3,2020-08-01 00:00:00+00:00,2020-11-09 00:23:16.157424+00:00,m5.large
4,2020-08-01 00:00:00+00:00,2020-11-09 00:38:44.502385+00:00,r5d.16xlarge
5,2020-08-01 00:00:00+00:00,2020-11-09 00:52:38.784608+00:00,t3a.large
6,2020-08-01 00:00:00+00:00,2020-11-09 00:57:15.875535+00:00,m5d.metal
7,2020-08-01 00:00:00+00:00,2020-11-09 01:38:22.251498+00:00,r5dn.4xlarge
8,2020-08-01 00:00:00+00:00,2020-11-09 01:44:14.367787+00:00,r5ad.xlarge
9,2020-08-01 00:00:00+00:00,2020-11-09 01:52:19.609843+00:00,g4dn.12xlarge
10,2020-08-01 00:00:00+00:00,2020-11-09 02:02:48.020928+00:00,c5n.4xlarge
11,2020-08-01 00:00:00+00:00,2020-11-09 02:21:11.861508+00:00,m5n.large
12,2020-08-01 00:00:00+00:00,2020-11-09 02:26:28.588893+00:00,r4.large
13,2020-08-01 00:00:00+00:00,2020-11-09 02:33:06.162465+00:00,m5.metal
14,2020-08-01 00:00:00+00:00,2020-11-09 02:39:33.909792+00:00,r5.16xlarge
15,2020-08-01 00:00:00+00:00,2020-11-09 02:55:05.078366+00:00,c4.xlarge
16,2020-08-01 00:00:00+00:00,2020-11-09 03:02:56.618747+00:00,m1.small
17,2020-08-01 00:00:00+00:00,2020-11-09 03:04:12.053722+00:00,c1.medium
18,2020-08-01 00:00:00+00:00,2020-11-09 03:05:33.914391+00:00,r5a.12xlarge
19,2020-08-01 00:00:00+00:00,2020-11-09 03:14:26.527115+00:00,i3en.xlarge
20,2020-08-01 00:00:00+00:00,2020-11-09 03:22:43.563907+00:00,t3.xlarge
21,2020-08-01 00:00:00+00:00,2020-11-09 03:30:17.032248+00:00,t1.micro
22,2020-08-01 00:00:00+00:00,2020-11-09 03:31:12.690980+00:00,r3.large
23,2020-08-01 00:00:00+00:00,2020-11-09 03:33:26.827128+00:00,r5n.24xlarge
24,2020-08-01 00:00:00+00:00,2020-11-09 03:36:13.965507+00:00,c5.9xlarge
25,2020-08-01 00:00:00+00:00,2020-11-09 03:50:14.899565+00:00,a1.metal
26,2020-08-01 00:00:00+00:00,2020-11-09 03:50:55.414034+00:00,r5.12xlarge
27,2020-08-01 00:00:00+00:00,2020-11-09 04:05:04.995785+00:00,r5.24xlarge
28,2020-08-01 00:00:00+00:00,2020-11-09 04:17:01.194304+00:00,m4.10xlarge
