,index,Instance, Product/Description, Migrations, SumStartingInstance, DaysStartingInstance, SumMigrations, DaysMigrations, Difference
0,546,p3.16xlarge, Red Hat Enterprise Linux,16,141008.36589999995,326,57464.95599999957,326,83543.40990000038
1,18,f1.16xlarge, Red Hat Enterprise Linux,11,78190.67050000001,325,31450.61399999996,325,46740.05650000005
2,841,r5ad.24xlarge, SUSE Linux,27,50339.69150000002,396,14285.72989999993,396,36053.96160000009
3,237,i3en.metal, Windows,16,73888.54230000003,228,40653.11129999989,228,33235.431000000135
4,231,i3en.metal, SUSE Linux,22,50491.49380000001,228,17806.051300000006,228,32685.442500000005
5,210,i3en.metal, Red Hat Enterprise Linux,16,50551.49380000002,228,17897.6219,228,32653.87190000002
6,205,i3en.metal, Linux/UNIX,16,49845.59379999999,228,17208.10190000006,228,32637.491899999928
7,570,p2.16xlarge, Red Hat Enterprise Linux,42,65134.886399999974,325,34162.324799999886,325,30972.561600000103
8,441,x1e.32xlarge, Red Hat Enterprise Linux,23,92122.5219,325,61713.59860000013,325,30408.923299999864
9,755,x1.32xlarge, Red Hat Enterprise Linux,13,62377.17899999995,329,32180.867900000194,329,30196.311099999763
10,0,p3.8xlarge, Red Hat Enterprise Linux,19,51105.2882,326,29129.62639999989,326,21975.66180000011
11,452,x1e.32xlarge, Windows,21,153789.93100000007,396,132594.09209999946,396,21195.838900000585
12,455,x1e.32xlarge, SUSE Linux,25,98653.21450000006,396,78481.45629999977,396,20171.758200000288
13,446,x1e.32xlarge, Linux/UNIX,22,97702.91449999993,396,77827.94490000006,396,19874.969599999862
14,775,x1e.16xlarge, Red Hat Enterprise Linux,23,50600.4612,325,31423.730700000204,325,19176.730499999794
15,17,f1.16xlarge, SUSE Linux,8,57561.56000000003,396,38410.01199999994,396,19151.548000000083
16,958,f1.16xlarge, Linux/UNIX,8,56612.15999999997,396,37466.01200000026,396,19146.147999999706
17,818,r5ad.12xlarge, SUSE Linux,21,28938.5738,396,11136.473999999986,396,17802.09980000001
18,698,x1.16xlarge, Red Hat Enterprise Linux,24,31735.967999999986,329,16545.102600000042,329,15190.865399999944
19,691,m5ad.24xlarge, Red Hat Enterprise Linux,15,24161.574,325,8977.119900000069,325,15184.454099999932
20,517,r5ad.24xlarge, Red Hat Enterprise Linux,17,23384.327999999998,325,8751.618400000048,325,14632.709599999951
21,496,r5ad.24xlarge, Windows,22,66342.6995,396,51901.39730000047,396,14441.30219999953
22,509,r5ad.24xlarge, Linux/UNIX,19,24249.4767,396,10347.16960000003,396,13902.307099999969
23,658,r5a.24xlarge, Red Hat Enterprise Linux,16,22436.6517,325,8741.997500000049,325,13694.654199999952
24,709,m5a.24xlarge, Red Hat Enterprise Linux,20,22057.83789999999,325,8389.687100000052,325,13668.150799999941
25,830,m5n.16xlarge, Windows,8,30142.285399999986,204,17597.888599999937,204,12544.396800000051
26,12,f1.4xlarge, Red Hat Enterprise Linux,10,19991.304500000013,324,8592.559700000016,324,11398.744799999995
27,603,m5d.metal, SUSE Linux,58,19381.2222,396,9426.398500000034,396,9954.823699999964
28,227,i3.16xlarge, Red Hat Enterprise Linux,45,21954.1891,329,12585.516800000043,329,9368.672299999953
29,711,m5a.24xlarge, Windows,20,59769.89900000001,396,51072.5848,396,8697.3142
30,776,m5d.12xlarge, Red Hat Enterprise Linux,40,13391.6445,325,4725.708399999992,325,8665.936100000006
31,119,m5.24xlarge, Red Hat Enterprise Linux,29,17207.404800000008,329,8582.986400000014,329,8624.418399999995
32,729,m5a.24xlarge, Linux/UNIX,17,17863.8366,396,9508.1147999999,396,8355.721800000098
33,177,c5n.metal, Windows,11,34702.03639999998,266,26597.102099999967,266,8104.93430000002
34,860,m5n.12xlarge, SUSE Linux,5,11168.077900000006,204,3064.378000000015,204,8103.699899999989
35,187,c5n.metal, Red Hat Enterprise Linux,9,14438.313500000002,266,6573.863100000038,266,7864.450399999964
36,184,c5n.metal, Linux/UNIX,9,13609.3035,266,5756.0330999999815,266,7853.2704000000185
37,703,m5ad.12xlarge, Red Hat Enterprise Linux,19,12748.326899999995,325,5249.63959999999,325,7498.687300000005
38,470,x1e.8xlarge, Red Hat Enterprise Linux,23,23549.46879999999,325,16163.707100000054,325,7385.7616999999345
39,783,x1e.16xlarge, Windows,24,71744.78110000004,396,64892.288299999746,396,6852.492800000268
40,893,m5a.24xlarge, SUSE Linux,21,19753.103000000006,396,13128.717599999962,396,6624.385400000042
41,473,m5d.24xlarge, SUSE Linux,41,19692.3471,396,13106.420999999993,396,6585.926100000006
42,597,m5d.metal, Red Hat Enterprise Linux,65,13097.719399999998,325,6568.851400000011,325,6528.867999999987
43,865,m5n.8xlarge, Windows,11,15225.4986,204,8774.859200000039,204,6450.63939999996
44,777,x1e.16xlarge, SUSE Linux,27,44576.8253,396,38251.50929999992,396,6325.316000000079
45,811,m5ad.24xlarge, Windows,16,57892.15390000001,396,51624.15539999994,396,6267.998500000067
46,781,x1e.16xlarge, Linux/UNIX,24,43627.12529999997,396,37417.16439999999,396,6209.960899999985
47,588,r5ad.12xlarge, Red Hat Enterprise Linux,20,11222.2022,325,5060.858599999996,325,6161.343600000004
48,690,m5ad.24xlarge, Linux/UNIX,19,16083.965200000002,396,10048.270999999924,396,6035.694200000078
49,701,m5ad.12xlarge, Windows,21,32864.85779999998,396,26947.095400000013,396,5917.762399999974
50,450,r5.24xlarge, Red Hat Enterprise Linux,21,14466.8123,325,8644.782999999941,325,5822.029300000058
51,679,r4.16xlarge, Red Hat Enterprise Linux,28,11809.285,329,6002.147599999982,329,5807.137400000019
52,454,x1e.4xlarge, Red Hat Enterprise Linux,22,14270.839799999994,325,8548.714499999945,325,5722.125300000049
53,661,m5ad.12xlarge, Linux/UNIX,19,11876.869300000002,396,6178.38929999994,396,5698.480000000062
54,645,m5a.12xlarge, Red Hat Enterprise Linux,18,10163.5956,325,4701.718899999999,325,5461.876700000002
55,486,m5d.24xlarge, Red Hat Enterprise Linux,32,13862.767200000006,325,8439.944300000006,325,5422.822899999997
56,217,i3.8xlarge, Red Hat Enterprise Linux,34,12121.1971,329,6791.527999999968,329,5329.669100000035
57,45,m4.16xlarge, Red Hat Enterprise Linux,46,10866.4334,329,5613.361899999971,329,5253.071500000029
58,399,c5.18xlarge, Red Hat Enterprise Linux,145,12592.983000000006,329,7361.807999999986,329,5231.1750000000175
59,881,r5d.24xlarge, SUSE Linux,23,18834.686800000003,396,13630.55220000005,396,5204.134599999956
60,469,r5d.24xlarge, Red Hat Enterprise Linux,25,13790.6368,325,8673.670000000011,325,5116.966799999989
61,83,g3.16xlarge, Red Hat Enterprise Linux,17,16581.18,325,11488.148299999975,325,5093.031700000025
62,585,r5ad.12xlarge, Linux/UNIX,20,12879.508999999998,396,7859.951799999931,396,5019.5572000000675
63,948,m5n.8xlarge, SUSE Linux,11,7262.4755,204,2246.8301000000088,204,5015.645399999991
64,897,m5ad.12xlarge, SUSE Linux,21,12928.8193,396,7923.611600000045,396,5005.207699999956
65,855,m5n.8xlarge, Red Hat Enterprise Linux,9,7297.855500000002,204,2302.5639000000024,204,4995.291599999999
66,856,m5n.8xlarge, Linux/UNIX,9,6664.625499999997,204,1675.7038999999945,204,4988.9216000000015
67,275,m2.4xlarge, Red Hat Enterprise Linux,21,6668.578499999999,329,1760.3359999999948,329,4908.242500000004
68,482,c5.24xlarge, Windows,19,44990.88029999999,318,40256.04039999967,318,4734.839900000319
69,355,i2.8xlarge, Windows,9,28891.888900000005,396,24414.537699999986,396,4477.351200000019
70,891,m5dn.24xlarge, SUSE Linux,12,9933.4319,204,5525.3161999999975,204,4408.115700000003
71,717,m5a.12xlarge, Windows,20,29890.88280000001,396,25763.1735,396,4127.7093000000095
72,535,r5ad.4xlarge, Red Hat Enterprise Linux,23,6359.2778,325,2308.9439000000048,325,4050.333899999995
