,index,Instance, Product/Description, Migrations, Days, SumStartingInstance, SumMigrations, BidPriceStart, BidPriceMigrations, Difference
0,546,p3.16xlarge, Red Hat Enterprise Linux,6,324,140771.65910000016,58253.06879999954,112,0,82518.59030000062
1,18,f1.16xlarge, Red Hat Enterprise Linux,3,323,78129.32050000003,31705.67999999996,213,0,46423.64050000005
2,210,i3en.metal, Red Hat Enterprise Linux,2,226,50502.778300000165,18295.332700000006,149,0,32207.445600000166
3,205,i3en.metal, Linux/UNIX,2,226,49797.65830000007,17590.212700000055,149,0,32207.44560000001
4,237,i3en.metal, Windows,2,226,73728.19079999976,41545.97159999989,138,0,32182.21919999988
5,231,i3en.metal, SUSE Linux,5,226,50442.808299999924,18291.45370000002,149,0,32151.3545999999
6,570,p2.16xlarge, Red Hat Enterprise Linux,30,323,64933.85280000032,34590.633599999885,0,0,30343.21920000043
7,755,x1.32xlarge, Red Hat Enterprise Linux,1,327,62258.18399999995,32788.1808000002,0,0,29470.00319999975
8,441,x1e.32xlarge, Red Hat Enterprise Linux,7,323,91923.00309999962,63145.764400000124,2,0,28777.238699999518
9,0,p3.8xlarge, Red Hat Enterprise Linux,9,324,51006.283000000236,29598.163199999886,42,0,21408.119800000342
10,452,x1e.32xlarge, Windows,11,407,162852.24779999908,143800.8216999993,0,0,19051.42609999975
11,958,f1.16xlarge, Linux/UNIX,4,406,57472.80000000043,38586.240000000274,85,0,18886.560000000143
12,17,f1.16xlarge, SUSE Linux,4,406,58447.1999999996,39560.63999999997,85,0,18886.559999999638
13,446,x1e.32xlarge, Linux/UNIX,11,407,105204.91130000066,86379.20010000031,0,0,18825.71120000037
14,455,x1e.32xlarge, SUSE Linux,11,407,106181.71129999976,87356.00009999973,0,0,18825.711200000038
15,775,x1e.16xlarge, Red Hat Enterprise Linux,13,323,50462.323200000006,32072.008000000216,17,0,18390.3151999998
16,690,m5ad.24xlarge, Linux/UNIX,13,400,27267.375800000293,10266.324199999925,154,0,17001.051600000366
17,811,m5ad.24xlarge, Windows,8,400,69687.91080000004,52689.32999999993,135,0,16998.580800000105
18,496,r5ad.24xlarge, Windows,11,400,68502.28849999963,52949.13360000048,79,0,15553.15489999915
19,509,r5ad.24xlarge, Linux/UNIX,12,400,26053.365400000224,10557.151800000025,98,4,15496.213600000201
20,691,m5ad.24xlarge, Red Hat Enterprise Linux,8,323,23924.619100000014,9113.06230000007,74,0,14811.55679999995
21,698,x1.16xlarge, Red Hat Enterprise Linux,15,327,31639.212000000152,16901.820000000043,0,0,14737.392000000105
22,874,m5ad.24xlarge, SUSE Linux,15,400,28327.57579999998,13593.246899999887,154,0,14734.328900000093
23,658,r5a.24xlarge, Red Hat Enterprise Linux,4,323,22381.64529999987,8893.80480000005,81,0,13487.840499999817
24,709,m5a.24xlarge, Red Hat Enterprise Linux,5,323,21982.182999999983,8535.408000000056,117,0,13446.774999999929
25,841,r5ad.24xlarge, SUSE Linux,14,400,27113.31539999976,14672.216999999917,98,9,12441.098399999839
26,407,r5d.24xlarge, Linux/UNIX,9,407,21374.28259999996,9970.83680000002,55,0,11403.44579999994
27,12,f1.4xlarge, Red Hat Enterprise Linux,3,322,19959.944500000045,8655.360000000015,210,0,11304.58450000003
28,201,i3.8xlarge, Linux/UNIX,22,407,16609.772100000075,7384.030799999981,0,0,9225.741300000092
29,212,i3.8xlarge, SUSE Linux,21,407,17586.57209999998,8360.830799999922,0,0,9225.741300000058
30,483,r5d.24xlarge, Windows,3,407,62329.497400000626,53106.32479999972,17,0,9223.172600000908
31,227,i3.16xlarge, Red Hat Enterprise Linux,33,327,21935.835900000075,12900.355200000056,0,0,9035.48070000002
32,574,p2.16xlarge, Windows,1,61,24880.240800000043,16005.842399999981,0,0,8874.398400000064
33,568,p2.16xlarge, SUSE Linux,1,60,19984.896,11358.835199999992,0,0,8626.060800000005
34,583,p2.16xlarge, Linux/UNIX,1,60,19840.896,11214.835200000007,0,0,8626.060799999988
35,776,m5d.12xlarge, Red Hat Enterprise Linux,24,323,13380.666900000071,4827.282099999992,109,0,8553.384800000076
36,119,m5.24xlarge, Red Hat Enterprise Linux,14,327,17154.943200000045,8900.617800000013,0,0,8254.325400000032
37,881,r5d.24xlarge, SUSE Linux,12,407,22451.932600000142,14345.556400000061,54,0,8106.376200000081
38,184,c5n.metal, Linux/UNIX,1,264,13576.538499999993,5775.99929999998,121,0,7800.539200000012
39,187,c5n.metal, Red Hat Enterprise Linux,1,264,14400.218500000026,6599.679300000039,120,0,7800.539199999989
40,443,r5.24xlarge, Linux/UNIX,18,407,17576.723200000062,9974.008000000036,0,0,7602.715200000026
41,569,r5ad.12xlarge, Windows,15,400,36625.006299999965,29204.962500000263,118,37,7420.043799999705
42,585,r5ad.12xlarge, Linux/UNIX,12,400,15403.749500000114,8013.221099999928,138,48,7390.528400000187
43,703,m5ad.12xlarge, Red Hat Enterprise Linux,9,323,12637.35530000006,5317.929899999989,0,0,7319.425400000069
44,470,x1e.8xlarge, Red Hat Enterprise Linux,13,323,23500.96319999994,16537.594000000052,0,0,6963.369199999887
45,697,r5a.24xlarge, Windows,9,406,59691.74399999968,52949.07880000047,0,0,6742.66519999921
46,648,r5a.24xlarge, Linux/UNIX,7,406,16663.276500000175,9921.017300000038,0,0,6742.259200000137
47,417,r5.24xlarge, Windows,4,407,59819.920799999636,53093.82999999993,0,0,6726.090799999714
48,118,m5.24xlarge, Linux/UNIX,13,407,16307.685299999961,9695.559899999971,0,0,6612.125399999988
49,684,r4.16xlarge, Linux/UNIX,37,407,13085.944600000017,6499.118599999982,7,0,6586.826000000035
50,97,m5.24xlarge, Windows,1,407,59079.794400000144,52636.970399999984,0,0,6442.8240000001615
51,467,m5d.24xlarge, Windows,2,406,58934.635200000135,52503.87359999998,0,0,6430.761600000157
52,865,m5n.8xlarge, Windows,2,202,15175.358799999976,8822.681600000038,125,0,6352.677199999937
53,597,m5d.metal, Red Hat Enterprise Linux,50,323,13062.42739999989,6715.93740000001,42,0,6346.489999999879
54,486,m5d.24xlarge, Red Hat Enterprise Linux,16,323,14963.256499999969,8635.50480000001,27,0,6327.751699999959
55,484,m5d.24xlarge, Linux/UNIX,24,406,15926.323499999931,9616.523799999959,0,0,6309.79969999997
56,860,m5n.12xlarge, SUSE Linux,1,202,9374.284699999997,3069.2256000000148,85,0,6305.059099999981
57,588,r5ad.12xlarge, Red Hat Enterprise Linux,9,323,11195.431400000063,5164.765999999993,0,0,6030.665400000072
58,729,m5a.24xlarge, Linux/UNIX,9,406,15905.131199999907,9939.291399999893,0,0,5965.839800000016
59,711,m5a.24xlarge, Windows,9,406,58934.635200000135,52975.6921,0,0,5958.943100000141
60,701,m5ad.12xlarge, Windows,12,400,33158.14729999993,27471.19830000002,90,11,5686.948999999913
61,661,m5ad.12xlarge, Linux/UNIX,15,400,11955.953199999949,6291.79539999994,112,23,5664.157800000007
62,517,r5ad.24xlarge, Red Hat Enterprise Linux,5,323,14446.665500000066,8893.80480000005,13,0,5552.860700000016
63,679,r4.16xlarge, Red Hat Enterprise Linux,21,327,11752.38000000001,6201.111499999979,0,0,5551.26850000003
64,450,r5.24xlarge, Red Hat Enterprise Linux,4,323,14333.546200000064,8863.522199999938,11,0,5470.024000000125
65,454,x1e.4xlarge, Red Hat Enterprise Linux,9,323,14159.904200000012,8771.822299999942,26,0,5388.08190000007
66,645,m5a.12xlarge, Red Hat Enterprise Linux,1,323,10120.220700000044,4771.583999999998,80,0,5348.636700000047
67,664,r5d.metal, Windows,4,406,54781.38749999962,49637.71680000038,1,0,5143.670699999247
68,217,i3.8xlarge, Red Hat Enterprise Linux,24,327,12077.014700000012,6965.163399999967,13,0,5111.851300000046
69,818,r5ad.12xlarge, SUSE Linux,9,400,16463.599500000048,11376.792799999981,136,68,5086.80670000007
70,45,m4.16xlarge, Red Hat Enterprise Linux,34,327,10854.168800000003,5790.80059999997,0,0,5063.368200000034
