,Instance, Product/Description, Region, Migrations, SumStartingInstance, DaysStartingInstance, SumMigrations, DaysMigrations, Difference
5857,x1e.32xlarge, Windows, ap-northeast-2,6,13648.54274166656,396,8265.422524999996,396,5383.1202166665635
5774,x1e.32xlarge, Linux/UNIX, ap-northeast-2,6,11306.396841666712,396,5927.367908333334,396,5379.0289333333785
5698,x1e.32xlarge, Red Hat Enterprise Linux, ap-northeast-2,4,9098.921004166688,317,3731.309779166667,317,5367.611225000021
7100,p3.16xlarge, Windows, ap-southeast-1,2,9346.885962500011,396,6677.021054166667,396,2669.864908333344
7160,p3.16xlarge, Linux/UNIX, ap-southeast-1,10,8011.890150000032,396,5475.287970833331,396,2536.6021791667013
6966,p3.16xlarge, SUSE Linux, ap-southeast-1,10,8051.490149999941,396,5514.88797083333,396,2536.602179166612
7030,p3.16xlarge, Red Hat Enterprise Linux, ap-southeast-1,4,5886.068995833313,326,3355.061599999998,326,2531.007395833315
5699,x1e.32xlarge, Red Hat Enterprise Linux, ap-south-1,3,4252.95385833334,179,1991.7136791666655,179,2261.240179166673
5775,x1e.32xlarge, Linux/UNIX, ap-south-1,3,4229.683858333335,179,1968.4436791666665,179,2261.2401791666684
5897,x1e.32xlarge, SUSE Linux, ap-south-1,3,4247.5838583333225,179,1986.3436791666657,179,2261.240179166657
5858,x1e.32xlarge, Windows, ap-south-1,3,5279.928325000006,179,3029.3102833333337,179,2250.618041666672
182,f1.16xlarge, Red Hat Enterprise Linux, us-east-1,3,3263.5683541666704,325,1329.2500000000011,325,1934.3183541666692
10186,x1e.16xlarge, Linux/UNIX, ap-northeast-2,3,5456.4264750000375,396,4135.4969375,396,1320.9295375000374
10100,x1e.16xlarge, Red Hat Enterprise Linux, ap-northeast-2,3,3988.934475,318,2668.0049375,318,1320.9295374999995
10208,x1e.16xlarge, Windows, ap-northeast-2,3,6610.140379166615,396,5304.180333333333,396,1305.9600458332825
11611,r5d.metal, SUSE Linux, ap-southeast-2,10,1924.4492799019627,358,774.741304901961,358,1149.7079750000012
8498,r5d.metal, Windows, ap-southeast-2,8,3460.302631060615,358,2311.719635227273,358,1148.5829958333425
8944,r5d.metal, Linux/UNIX, ap-southeast-2,10,1882.9841132352988,358,734.6371382352942,358,1148.3469750000047
2768,i3en.metal, Linux/UNIX, ap-northeast-1,7,2090.88092916667,228,971.6535166666664,228,1119.2274125000038
2846,i3en.metal, Red Hat Enterprise Linux, ap-northeast-1,7,2120.5209291666606,228,1001.2935166666664,228,1119.2274124999942
3175,i3en.metal, SUSE Linux, ap-northeast-1,7,2118.0121791666606,228,998.784766666667,228,1119.2274124999935
3270,i3en.metal, Windows, ap-northeast-1,7,3096.8184500000098,228,1979.3178569444433,228,1117.5005930555665
5784,x1e.32xlarge, Linux/UNIX, us-west-2,2,4463.036429166733,396,3377.715120833332,396,1085.3213083334008
5906,x1e.32xlarge, SUSE Linux, us-west-2,4,4502.636429166679,396,3417.315120833336,396,1085.321308333343
5867,x1e.32xlarge, Windows, us-west-2,4,6799.77524166671,396,5717.200316666666,396,1082.5749250000435
3271,i3en.metal, Windows, ap-northeast-2,3,2916.841892261908,227,1871.3475422619033,227,1045.4943500000045
8748,r5d.metal, Red Hat Enterprise Linux, ap-southeast-2,8,1650.655809068626,316,636.3656340686274,316,1014.2901749999987
2777,i3en.metal, Linux/UNIX, eu-west-3,5,1736.0497333333358,143,781.2100666666665,143,954.8396666666696
2855,i3en.metal, Red Hat Enterprise Linux, eu-west-3,5,1754.6397333333289,143,799.8000666666666,143,954.8396666666624
3184,i3en.metal, SUSE Linux, eu-west-3,5,1754.8893166666605,143,800.0496500000003,143,954.8396666666603
3279,i3en.metal, Windows, eu-west-3,5,2367.8216958333296,143,1416.4355166666676,143,951.3861791666625
3273,i3en.metal, Windows, ap-southeast-1,3,2087.9276333333332,143,1189.5312,143,898.3964333333338
10216,x1e.16xlarge, Windows, us-east-2,7,3559.088108333336,329,2692.6998875000004,329,866.3882208333357
10194,x1e.16xlarge, Linux/UNIX, us-east-2,7,2581.9086250000078,329,1725.1963624999994,329,856.7122625000087
10108,x1e.16xlarge, Red Hat Enterprise Linux, us-east-2,7,2579.213425000005,318,1722.5011625,318,856.7122625000053
7308,p2.16xlarge, Red Hat Enterprise Linux, us-east-1,29,2282.633537499992,324,1441.8000000000006,324,840.833537499991
6482,r5ad.24xlarge, Windows, eu-west-3,1,2178.393387500002,213,1363.9409458333334,213,814.4524416666687
6620,r5ad.24xlarge, Linux/UNIX, eu-west-3,1,1237.371641666671,213,424.13563750000014,213,813.2360041666707
10960,r5ad.24xlarge, SUSE Linux, eu-west-3,1,1120.3274875000013,178,307.0914833333334,178,813.236004166668
6706,r5ad.24xlarge, Red Hat Enterprise Linux, eu-west-3,1,1265.0616416666676,213,451.82563750000014,213,813.2360041666675
5707,x1e.32xlarge, Red Hat Enterprise Linux, us-east-2,5,6131.49761666671,323,5326.6446375,323,804.8529791667106
6487,r5ad.24xlarge, Windows, us-west-2,6,3803.564525000013,396,3006.4170791666675,396,797.147445833345
6625,r5ad.24xlarge, Linux/UNIX, us-west-2,6,2054.560012500004,396,1257.9299666666666,396,796.6300458333376
10965,r5ad.24xlarge, SUSE Linux, us-west-2,8,2098.412095833335,396,1301.7820500000005,396,796.6300458333346
6711,r5ad.24xlarge, Red Hat Enterprise Linux, us-west-2,8,1777.5423958333215,323,980.9123499999997,323,796.6300458333218
12312,f1.16xlarge, Linux/UNIX, us-east-1,4,2364.340000000004,396,1568.1599999999994,396,796.1800000000044
178,f1.16xlarge, SUSE Linux, us-east-1,4,2403.9399999999923,396,1607.7600000000007,396,796.1799999999918
974,g3.16xlarge, Windows, ap-northeast-2,2,2887.7372916666527,345,2113.4015208333317,345,774.335770833321
1094,g3.16xlarge, Linux/UNIX, ap-northeast-2,1,1872.1789833333387,345,1098.1557416666672,345,774.0232416666712
8503,r5d.metal, Windows, eu-west-2,8,2826.873637499987,344,2093.3404787280706,344,733.5331587719165
8753,r5d.metal, Red Hat Enterprise Linux, eu-west-2,6,1302.664704166665,317,570.3179733333329,317,732.3467308333321
11616,r5d.metal, SUSE Linux, eu-west-2,6,1054.972337499996,179,322.62560666666667,179,732.3467308333293
10917,m5n.24xlarge, Windows, eu-central-1,1,1894.468073333329,204,1241.8986483333338,204,652.5694249999954
10903,m5n.24xlarge, Red Hat Enterprise Linux, eu-central-1,1,1020.2316958333361,204,367.6636708333332,204,652.5680250000028
10874,m5n.24xlarge, Linux/UNIX, eu-central-1,1,993.7116958333344,204,341.1436708333332,204,652.5680250000012
10910,m5n.24xlarge, SUSE Linux, eu-central-1,1,1018.7283625000003,204,366.16033750000014,204,652.5680250000004
6194,m5d.16xlarge, SUSE Linux, ap-northeast-1,8,1068.1928458333368,309,417.8105541666667,309,650.3822916666702
5741,m5d.16xlarge, Linux/UNIX, ap-northeast-1,8,1037.2928458333363,309,386.91055416666643,309,650.3822916666702
5868,m5d.16xlarge, Red Hat Enterprise Linux, ap-northeast-1,8,1077.4628458333348,309,427.08055416666684,309,650.3822916666678
6253,m5d.16xlarge, Windows, ap-northeast-1,8,1945.6539305434733,309,1295.4812880434786,309,650.1726424999953
7417,p3dn.24xlarge, Windows, us-west-2,2,6512.554691666617,396,5869.310066666665,396,643.244624999953
10827,p3dn.24xlarge, SUSE Linux, us-west-2,2,4806.731766666695,396,4167.323541666665,396,639.4082250000301
7557,p3dn.24xlarge, Linux/UNIX, us-west-2,2,4762.921350000001,396,4123.513124999999,396,639.4082250000029
8940,r5d.metal, Linux/UNIX, ap-northeast-1,7,1266.698612499999,358,631.6178041666665,358,635.0808083333325
8744,r5d.metal, Red Hat Enterprise Linux, ap-northeast-1,7,1171.0880916666638,317,536.007283333333,317,635.0808083333308
11607,r5d.metal, SUSE Linux, ap-northeast-1,7,1306.8298624999966,358,671.7490541666667,358,635.0808083333295
8494,r5d.metal, Windows, ap-northeast-1,7,2843.0531000000005,358,2208.541304166667,358,634.5117958333335
7415,p3dn.24xlarge, Windows, eu-west-1,10,6988.718162500009,379,6369.082779166666,379,619.6353833333443
2770,i3en.metal, Linux/UNIX, ap-south-1,2,910.1795800000008,80,295.20063833333336,80,614.9789416666674
2848,i3en.metal, Red Hat Enterprise Linux, ap-south-1,2,920.5795800000003,80,305.6006383333331,80,614.9789416666674
3177,i3en.metal, SUSE Linux, ap-south-1,2,922.1795799999994,80,307.20063833333353,80,614.9789416666661
10825,p3dn.24xlarge, SUSE Linux, eu-west-1,8,5337.541537499997,379,4731.2215875,379,606.3199499999963
7555,p3dn.24xlarge, Linux/UNIX, eu-west-1,8,5295.008204166648,379,4688.688254166669,379,606.3199499999791
7331,p3dn.24xlarge, Red Hat Enterprise Linux, eu-west-1,6,4224.115108333329,323,3617.8016833333336,323,606.3134249999953
3280,i3en.metal, Windows, sa-east-1,9,3111.389962499993,143,2527.384625,143,584.0053374999934
5865,x1e.32xlarge, Windows, us-east-1,6,6408.492725000036,396,5832.198375,396,576.2943500000374
3185,i3en.metal, SUSE Linux, sa-east-1,11,2495.278654166666,143,1921.0229458333329,143,574.2557083333331
2778,i3en.metal, Linux/UNIX, sa-east-1,11,2476.439070833336,143,1902.1875291666668,143,574.2515416666695
2856,i3en.metal, Red Hat Enterprise Linux, sa-east-1,11,2495.029070833333,143,1920.777529166667,143,574.2515416666668
4797,h1.16xlarge, Linux/UNIX, us-east-2,10,1246.9305833333308,396,674.2452708333335,396,572.6853124999973
4741,h1.16xlarge, Windows, us-east-2,12,2411.7798125000195,396,1839.919804166666,396,571.8600083333537
5782,x1e.32xlarge, Linux/UNIX, us-east-1,6,4071.2883708333834,396,3500.089849999999,396,571.1985208333845
5904,x1e.32xlarge, SUSE Linux, us-east-1,6,4110.888370833352,396,3539.6898500000025,396,571.1985208333498
8897,m5ad.24xlarge, Red Hat Enterprise Linux, us-west-2,6,1124.8794791666685,323,566.0898000000002,323,558.7896791666683
10640,m5ad.24xlarge, Windows, eu-west-3,1,1817.9495145833305,213,1266.00058125,213,551.9489333333304
11312,m5ad.24xlarge, SUSE Linux, eu-west-3,1,845.0874999999971,178,294.1425499999998,178,550.9449499999973
7799,m5d.metal, Windows, eu-west-2,7,2605.688583333318,344,2064.5822166666658,344,541.1063666666519
5215,x1e.8xlarge, Windows, ap-northeast-2,6,2991.8044416666467,396,2452.5430375,396,539.261404166647
