Instance, Product/Description, Migrations, SumStartingInstance, DaysStartingInstance, SumMigrations, DaysMigrations, Difference
p3.8xlarge, Red Hat Enterprise Linux, 19, 51105.2882, 326, 29129.626399999892, 326, 21975.66180000011
m4.4xlarge, Windows, 10, 8430.672000000002, 396, 8369.356199999967, 396, 61.31580000003487
f1.2xlarge, SUSE Linux, 9, 6693.848500000002, 396, 5635.535, 396, 1058.313500000002
t3a.large, Red Hat Enterprise Linux, 17, 686.3559000000001, 325, 598.706800000004, 325, 87.64909999999611
f1.4xlarge, Linux/UNIX, 8, 12101.360299999993, 396, 9356.199700000065, 396, 2745.1605999999283
m4.large, Linux/UNIX, 21, 184.00010000000003, 396, 182.3414000000003, 396, 1.658699999999726
r5.xlarge, Windows, 14, 2144.6631999999995, 396, 2119.304099999987, 396, 25.359100000012404
t2.medium, SUSE Linux, 16, 1083.8790000000008, 396, 1067.9719000000068, 396, 15.907099999993989
f1.2xlarge, Red Hat Enterprise Linux, 13, 5893.9385, 324, 4816.049999999999, 324, 1077.888500000001
g2.2xlarge, Linux/UNIX, 8, 1853.085, 396, 1845.2616000000064, 396, 7.823399999993626
t3a.large, Linux/UNIX, 14, 200.9366, 372, 167.51459999999955, 372, 33.42200000000045
f1.4xlarge, SUSE Linux, 8, 13052.445800000001, 396, 10300.69969999996, 396, 2751.746100000042
f1.4xlarge, Red Hat Enterprise Linux, 10, 19991.304500000013, 324, 8592.559700000016, 324, 11398.744799999997
f1.2xlarge, Linux/UNIX, 9, 5743.548499999998, 396, 4689.635000000033, 396, 1053.913499999965
t2.medium, Red Hat Enterprise Linux, 20, 647.7010000000002, 329, 567.7281999999971, 329, 79.97280000000319
m4.large, Red Hat Enterprise Linux, 30, 784.7649000000001, 329, 613.6909999999997, 329, 171.07390000000044
d2.xlarge, Windows, 4, 3212.013999999999, 396, 3198.88640000002, 396, 13.127599999979338
f1.16xlarge, SUSE Linux, 8, 57561.56000000003, 396, 38410.011999999944, 396, 19151.548000000083
f1.16xlarge, Red Hat Enterprise Linux, 11, 78190.67050000001, 325, 31450.61399999996, 325, 46740.05650000005
g2.8xlarge, Red Hat Enterprise Linux, 11, 10318.139999999994, 325, 6978.402800000029, 325, 3339.737199999965
g2.8xlarge, SUSE Linux, 4, 6530.48, 310, 8315.161599999969, 396, -1784.681599999969
m4.4xlarge, SUSE Linux, 54, 3339.5195, 396, 2981.786200000004, 396, 357.7332999999958
t2.medium, Windows, 10, 303.1776000000001, 396, 299.9057000000019, 396, 3.2718999999981975
g2.8xlarge, Linux/UNIX, 4, 5788.379999999999, 310, 7370.361600000025, 396, -1581.9816000000255
g2.8xlarge, Windows, 4, 7851.417999999999, 310, 9996.90559999995, 396, -2145.4875999999504
g2.2xlarge, Red Hat Enterprise Linux, 13, 1880.7196999999996, 239, 2490.9743000000017, 325, -610.254600000002
g2.2xlarge, SUSE Linux, 8, 2803.385, 396, 2791.3767999999845, 396, 12.008200000015677
g2.2xlarge, Windows, 6, 2631.2702, 396, 2608.9907999999873, 396, 22.27940000001263
r5.12xlarge, SUSE Linux, 29, 8888.766900000004, 396, 7339.960200000019, 396, 1548.8066999999855
m4.large, Windows, 9, 1052.3910000000003, 396, 1044.386999999996, 396, 8.004000000004226
d2.8xlarge, SUSE Linux, 8, 16689.024, 396, 16495.435800000057, 396, 193.58819999994375
t2.medium, Linux/UNIX, 13, 133.52490000000006, 396, 130.75970000000046, 396, 2.765199999999595
d2.8xlarge, Red Hat Enterprise Linux, 11, 17238.29600000001, 325, 13612.40539999991, 325, 3625.890600000099
r4.8xlarge, Red Hat Enterprise Linux, 24, 6402.191600000005, 329, 3527.616900000001, 329, 2874.5747000000038
d2.8xlarge, Windows, 3, 22182.336000000014, 396, 22080.874199999886, 396, 101.46180000012828
m4.large, SUSE Linux, 25, 970.5359999999996, 310, 1178.4521999999997, 396, -207.91620000000012
r5.8xlarge, Windows, 14, 13379.1525, 309, 13153.462699999962, 309, 225.6898000000383
r5.12xlarge, Windows, 11, 25741.79739999999, 396, 25476.99359999999, 396, 264.80379999999786
d2.8xlarge, Linux/UNIX, 3, 15738.623999999989, 396, 15664.738200000083, 396, 73.88579999990543
d2.xlarge, Red Hat Enterprise Linux, 12, 2499.3059999999987, 326, 2047.7345999999866, 326, 451.5714000000121
d2.xlarge, SUSE Linux, 10, 2917.421000000002, 396, 2886.2899999999877, 396, 31.13100000001441
d2.xlarge, Linux/UNIX, 4, 1967.1209999999987, 396, 1958.5104000000103, 396, 8.61059999998838
m4.16xlarge, SUSE Linux, 19, 7693.198500000004, 310, 8390.481099999923, 396, -697.2825999999186
t2.small, Linux/UNIX, 22, 65.74180000000001, 396, 64.89119999999967, 396, 0.8506000000003411
r5.12xlarge, Red Hat Enterprise Linux, 35, 7988.803400000001, 325, 4844.967400000023, 325, 3143.8359999999775
m4.16xlarge, Red Hat Enterprise Linux, 46, 10866.4334, 329, 5613.361899999971, 329, 5253.071500000029
g3s.xlarge, Windows, 4, 3036.8250000000007, 310, 3868.432399999968, 396, -831.6073999999671
r5.large, Red Hat Enterprise Linux, 90, 734.4084000000003, 326, 612.1799999999995, 326, 122.22840000000076
t2.small, Red Hat Enterprise Linux, 30, 560.6288, 329, 514.1414999999977, 329, 46.48730000000228
m4.16xlarge, Linux/UNIX, 51, 5936.184800000001, 396, 5648.271399999988, 396, 287.9134000000131
g4dn.12xlarge, Linux/UNIX, 19, 6410.062500000002, 224, 6120.253700000011, 224, 289.8087999999907
r4.8xlarge, SUSE Linux, 22, 5498.317, 310, 4993.202499999991, 396, 505.1145000000088
t2.micro, Windows, 10, 76.96619999999999, 396, 76.2235000000005, 396, 0.7426999999994877
m4.16xlarge, Windows, 9, 33752.054200000006, 396, 33383.06900000023, 396, 368.98519999977725
m4.2xlarge, Linux/UNIX, 57, 851.7696, 396, 779.7765999999997, 396, 71.99300000000028
g3.8xlarge, Windows, 4, 16012.611999999994, 310, 20366.21679999998, 396, -4353.604799999986
t3a.2xlarge, Linux/UNIX, 14, 802.6898, 372, 669.1158000000052, 372, 133.57399999999484
r5.large, Linux/UNIX, 82, 201.79879999999994, 396, 199.05469999999954, 396, 2.744100000000401
t3.xlarge, Windows, 10, 1174.4851999999996, 396, 1162.704200000003, 396, 11.780999999996538
m4.10xlarge, Windows, 6, 21068.749000000007, 396, 20967.631100000017, 396, 101.11789999999019
r5.large, Windows, 12, 1072.7757999999994, 396, 1059.5996000000048, 396, 13.176199999994651
t2.small, Windows, 10, 151.32190000000008, 396, 149.4693000000004, 396, 1.8525999999996827
m4.10xlarge, Linux/UNIX, 65, 3932.6138, 396, 3781.3253000000173, 396, 151.28849999998283
g4dn.16xlarge, Linux/UNIX, 16, 6979.584699999995, 224, 6842.510899999987, 224, 137.0738000000083
t3.xlarge, Red Hat Enterprise Linux, 32, 1254.4756000000002, 329, 842.9382000000044, 329, 411.53739999999584
t2.small, SUSE Linux, 27, 350.36380000000014, 396, 345.25300000000254, 396, 5.110799999997596
m4.10xlarge, Red Hat Enterprise Linux, 64, 7189.485299999997, 329, 4149.582800000005, 329, 3039.902499999992
g4dn.12xlarge, Windows, 17, 18103.523800000003, 224, 17683.13600000004, 224, 420.38779999996405
r5.12xlarge, Linux/UNIX, 34, 4828.684399999998, 396, 4738.568700000004, 396, 90.11569999999392
g4dn.16xlarge, Red Hat Enterprise Linux, 16, 7677.684700000004, 224, 7526.310899999969, 224, 151.37380000003577
m3.xlarge, SUSE Linux, 8, 1178.2393999999995, 310, 1493.3846999999994, 396, -315.1452999999999
t2.xlarge, Linux/UNIX, 15, 539.1974, 396, 525.3978999999978, 396, 13.79950000000224
m3.xlarge, Windows, 13, 1990.5834999999997, 310, 2385.4219000000003, 396, -394.83840000000055
t3.xlarge, SUSE Linux, 29, 1498.0224000000005, 396, 1451.717300000001, 396, 46.305099999999584
