Instance, Product/Description, Migrations, Days, SumStartingInstance, SumMigrations, BidPriceStart, BidPriceMigrations, Difference
p3.8xlarge, Red Hat Enterprise Linux, 9, 324, 51006.28300000023, 29598.16319999989, 42, 0, 21408.11980000034
m4.4xlarge, Windows, 1, 406, 9696.254400000093, 8673.235199999965, 0, 0, 1023.019200000128
f1.2xlarge, SUSE Linux, 4, 407, 6851.523499999996, 5811.9599999999955, 42, 0, 1039.5635000000002
t3a.large, Red Hat Enterprise Linux, 3, 323, 684.5015999999962, 608.7903000000041, 0, 0, 75.7112999999921
f1.4xlarge, Linux/UNIX, 4, 407, 12340.241300000082, 9670.320000000069, 54, 0, 2669.9213000000127
m4.large, Linux/UNIX, 16, 407, 359.34139999999957, 191.47240000000033, 0, 0, 167.86899999999923
r5.xlarge, Windows, 3, 406, 2486.2811999999767, 2204.974799999991, 0, 0, 281.30639999998584
t2.medium, SUSE Linux, 5, 407, 1113.4649000000054, 1112.5830000000071, 0, 0, 0.881899999998268
f1.2xlarge, Red Hat Enterprise Linux, 4, 322, 5869.563499999995, 4830.0, 42, 0, 1039.5634999999947
g2.2xlarge, Linux/UNIX, 6, 321, 1534.4451000000035, 1507.9254000000017, 0, 0, 26.519700000001876
t3a.large, Linux/UNIX, 2, 370, 201.21689999999882, 169.02629999999954, 0, 0, 32.19059999999928
f1.4xlarge, SUSE Linux, 4, 407, 13317.726799999979, 10647.119999999955, 53, 0, 2670.606800000023
f1.4xlarge, Red Hat Enterprise Linux, 3, 322, 19959.944500000045, 8655.360000000015, 210, 0, 11304.58450000003
f1.2xlarge, Linux/UNIX, 4, 407, 5874.723500000031, 4835.160000000034, 44, 0, 1039.5634999999966
t2.medium, Red Hat Enterprise Linux, 6, 327, 645.8903999999947, 580.859999999997, 0, 0, 65.03039999999771
m4.large, Red Hat Enterprise Linux, 16, 327, 782.0219999999996, 625.8505999999999, 0, 0, 156.17139999999972
d2.xlarge, Windows, 0, 406, 3293.4720000000207, 3293.4720000000207, 0, 0, 0.0
f1.16xlarge, SUSE Linux, 4, 406, 58447.199999999604, 39560.63999999997, 85, 0, 18886.559999999634
f1.16xlarge, Red Hat Enterprise Linux, 3, 323, 78129.32050000002, 31705.67999999996, 213, 0, 46423.64050000005
g2.8xlarge, Red Hat Enterprise Linux, 2, 323, 10310.16000000002, 7064.40000000003, 0, 0, 3245.75999999999
g2.8xlarge, SUSE Linux, 2, 407, 8601.572199999979, 8596.67289999998, 0, 0, 4.89929999999913
m4.4xlarge, SUSE Linux, 47, 407, 4169.409899999998, 3120.696700000005, 0, 0, 1048.7131999999929
t2.medium, Windows, 0, 406, 310.833600000002, 310.833600000002, 0, 0, 0.0
g2.8xlarge, Linux/UNIX, 2, 407, 7624.7722000000285, 7619.8729000000285, 0, 0, 4.899300000000039
g2.8xlarge, Windows, 0, 320, 8125.439999999961, 8125.439999999961, 0, 0, 0.0
g2.2xlarge, Red Hat Enterprise Linux, 2, 237, 1873.8946999999978, 1848.5999999999929, 0, 0, 25.294700000004923
g2.2xlarge, SUSE Linux, 6, 321, 2304.845099999997, 2278.3253999999897, 0, 0, 26.519700000007106
g2.2xlarge, Windows, 3, 321, 2403.6480000000033, 2131.958399999992, 0, 0, 271.6896000000115
r5.12xlarge, SUSE Linux, 24, 407, 10183.17839999999, 7698.900600000023, 0, 0, 2484.277799999967
m4.large, Windows, 1, 406, 1212.153599999993, 1084.1567999999957, 0, 0, 127.99679999999739
d2.8xlarge, SUSE Linux, 0, 406, 17110.464000000058, 17110.464000000058, 0, 0, 0.0
t2.medium, Linux/UNIX, 5, 407, 136.66490000000047, 135.7830000000003, 0, 0, 0.8819000000001722
d2.8xlarge, Red Hat Enterprise Linux, 1, 323, 17193.935999999994, 13855.439999999908, 0, 0, 3338.4960000000865
r4.8xlarge, Red Hat Enterprise Linux, 13, 327, 6385.917600000013, 3625.4335000000015, 0, 0, 2760.484100000012
d2.8xlarge, Windows, 0, 407, 22798.51199999988, 22798.51199999988, 0, 0, 0.0
m4.large, SUSE Linux, 15, 407, 1336.1414000000007, 1229.7339999999988, 0, 0, 106.40740000000187
r5.8xlarge, Windows, 0, 307, 13310.291999999961, 13310.291999999961, 0, 0, 0.0
r5.12xlarge, Windows, 3, 406, 29835.89280000026, 26465.405700000003, 0, 0, 3370.4871000002568
d2.8xlarge, Linux/UNIX, 0, 406, 16136.064000000091, 16136.064000000091, 0, 0, 0.0
d2.xlarge, Red Hat Enterprise Linux, 1, 324, 2496.096000000001, 2078.783999999986, 0, 0, 417.3120000000149
d2.xlarge, SUSE Linux, 0, 406, 2991.407999999987, 2991.407999999987, 0, 0, 0.0
d2.xlarge, Linux/UNIX, 0, 406, 2017.0080000000114, 2017.0080000000114, 0, 0, 0.0
m4.16xlarge, SUSE Linux, 12, 406, 10582.451199999994, 8756.41789999992, 0, 0, 1826.0333000000737
t2.small, Linux/UNIX, 16, 407, 67.68069999999959, 67.39919999999964, 0, 0, 0.28149999999995146
r5.12xlarge, Red Hat Enterprise Linux, 22, 323, 7724.312200000003, 4954.219800000022, 0, 0, 2770.0923999999814
m4.16xlarge, Red Hat Enterprise Linux, 34, 327, 10854.168800000005, 5790.8005999999705, 0, 0, 5063.368200000034
g3s.xlarge, Windows, 0, 320, 3141.119999999982, 3141.119999999982, 0, 0, 0.0
r5.large, Red Hat Enterprise Linux, 73, 324, 733.2767999999971, 632.8320999999993, 0, 0, 100.44469999999785
t2.small, Red Hat Enterprise Linux, 18, 327, 558.777599999999, 525.4319999999975, 0, 0, 33.34560000000147
m4.16xlarge, Linux/UNIX, 51, 406, 9608.051200000004, 5909.8179999999875, 0, 0, 3698.233200000016
g4dn.12xlarge, Linux/UNIX, 6, 222, 6335.6855000000105, 6228.288300000011, 218, 216, 107.39719999999943
r4.8xlarge, SUSE Linux, 15, 407, 6702.117899999997, 5228.134699999993, 0, 0, 1473.9832000000033
t2.micro, Windows, 0, 406, 78.92640000000053, 78.92640000000053, 0, 0, 0.0
m4.16xlarge, Windows, 2, 406, 38099.01399999998, 34559.00650000024, 0, 0, 3540.007499999738
m4.2xlarge, Linux/UNIX, 52, 407, 1490.1432000000018, 820.6045999999998, 31, 0, 669.538600000002
g3.8xlarge, Windows, 0, 320, 16558.08000000007, 16558.08000000007, 0, 0, 0.0
t3a.2xlarge, Linux/UNIX, 1, 370, 809.0892000000035, 674.7546000000052, 0, 0, 134.33459999999832
r5.large, Linux/UNIX, 74, 407, 362.17809999999963, 210.33369999999942, 12, 0, 151.8444000000002
t3.xlarge, Windows, 0, 406, 1204.4250000000015, 1204.4250000000015, 0, 0, 0.0
m4.10xlarge, Windows, 2, 406, 24240.14879999984, 21688.81920000002, 0, 0, 2551.329599999819
r5.large, Windows, 2, 407, 1246.396800000008, 1106.2008000000035, 0, 0, 140.19600000000446
t2.small, Windows, 2, 407, 155.7898000000003, 155.31120000000027, 0, 0, 0.47860000000002856
m4.10xlarge, Linux/UNIX, 63, 406, 6996.0763999999945, 3947.681100000018, 0, 0, 3048.3952999999765
g4dn.16xlarge, Linux/UNIX, 4, 222, 6935.053299999986, 6932.243999999985, 0, 0, 2.8093000000008033
t3.xlarge, Red Hat Enterprise Linux, 15, 327, 1250.2321000000022, 865.9552000000045, 32, 0, 384.2768999999977
t2.small, SUSE Linux, 16, 407, 360.7327000000024, 360.4392000000027, 0, 0, 0.2934999999997103
m4.10xlarge, Red Hat Enterprise Linux, 53, 327, 7166.423300000035, 4241.813200000006, 0, 0, 2924.610100000029
g4dn.12xlarge, Windows, 3, 222, 17994.725200000037, 17994.342700000037, 0, 0, 0.38249999999970896
r5.12xlarge, Linux/UNIX, 30, 407, 9105.478399999998, 4997.918900000008, 0, 0, 4107.55949999999
g4dn.16xlarge, Red Hat Enterprise Linux, 4, 222, 7627.693299999968, 7624.883999999968, 0, 0, 2.8092999999998938
m3.xlarge, SUSE Linux, 3, 407, 1582.8703999999914, 1549.8767999999984, 0, 0, 32.993599999992966
t2.xlarge, Linux/UNIX, 7, 407, 553.9049999999976, 544.0775999999984, 0, 0, 9.827399999999216
m3.xlarge, Windows, 6, 320, 2082.9575000000036, 1923.8018000000004, 0, 0, 159.1557000000032
t3.xlarge, SUSE Linux, 16, 407, 1552.761899999998, 1515.234700000001, 0, 0, 37.52719999999681
