Instance, Product/Description, Days, MigrationsMin, SumStartingInstance, SumMigrations, Difference
p3.8xlarge, Red Hat Enterprise Linux, 305, 9, 48630.158200000216, 27864.451199999898, 20765.70700000032
m4.4xlarge, Windows, 387, 1, 9242.488800000085, 8268.307199999967, 974.1816000001181
f1.2xlarge, SUSE Linux, 388, 4, 6580.203499999992, 5540.64, 1039.563499999992
t3a.large, Red Hat Enterprise Linux, 304, 2, 644.2367999999966, 574.7064000000037, 69.53039999999294
f1.4xlarge, Linux/UNIX, 388, 4, 11888.80130000008, 9218.880000000065, 2669.9213000000145
m4.large, Linux/UNIX, 388, 16, 342.5068999999997, 182.83010000000033, 159.67679999999936
r5.xlarge, Windows, 387, 3, 2369.8643999999786, 2102.0099999999857, 267.8543999999929
t2.medium, SUSE Linux, 388, 5, 1061.509100000005, 1060.6368000000068, 0.8722999999981766
f1.2xlarge, Red Hat Enterprise Linux, 303, 4, 5584.563499999996, 4545.0, 1039.5634999999957
g2.2xlarge, Linux/UNIX, 302, 2, 1438.6547000000044, 1413.3600000000006, 25.294700000003786
t3a.large, Linux/UNIX, 351, 1, 190.91129999999907, 162.30239999999958, 28.608899999999494
f1.4xlarge, SUSE Linux, 388, 4, 12820.686799999981, 10150.079999999958, 2670.606800000023
f1.4xlarge, Red Hat Enterprise Linux, 303, 3, 19449.224500000048, 8144.6400000000285, 11304.584500000019
f1.2xlarge, Linux/UNIX, 388, 4, 5649.003500000027, 4609.440000000032, 1039.5634999999947
t2.medium, Red Hat Enterprise Linux, 308, 6, 608.3615999999952, 547.1615999999972, 61.199999999998
m4.large, Red Hat Enterprise Linux, 308, 16, 736.0571999999999, 589.8265999999993, 146.23060000000055
d2.xlarge, Windows, 387, 0, 3139.344000000019, 3139.344000000019, 0.0
f1.16xlarge, SUSE Linux, 387, 4, 56595.83999999965, 37709.279999999926, 18886.55999999972
f1.16xlarge, Red Hat Enterprise Linux, 304, 3, 76264.28050000004, 29840.639999999963, 46423.640500000074
g2.8xlarge, Red Hat Enterprise Linux, 304, 3, 9703.680000000018, 6649.440000000027, 3054.2399999999916
g2.8xlarge, SUSE Linux, 388, 3, 8194.610199999965, 8194.580999999964, 0.029200000000855653
m4.4xlarge, SUSE Linux, 388, 46, 3772.654800000002, 2985.8107000000036, 786.8440999999984
t2.medium, Windows, 387, 0, 296.28720000000186, 296.28720000000186, 0.0
g2.8xlarge, Linux/UNIX, 388, 3, 7263.410200000024, 7263.381000000024, 0.029199999999946158
g2.8xlarge, Windows, 301, 0, 7642.991999999965, 7642.991999999965, 0.0
g2.2xlarge, Red Hat Enterprise Linux, 218, 2, 1725.694699999998, 1700.3999999999937, 25.29470000000424
g2.2xlarge, SUSE Linux, 302, 2, 2163.454699999996, 2138.159999999991, 25.294700000004923
g2.2xlarge, Windows, 302, 2, 2261.3760000000066, 2006.2847999999929, 255.0912000000137
r5.12xlarge, SUSE Linux, 388, 23, 9688.672299999995, 7424.251000000024, 2264.421299999971
m4.large, Windows, 387, 1, 1155.4271999999935, 1033.540799999996, 121.8863999999976
d2.8xlarge, SUSE Linux, 387, 0, 16309.728000000056, 16309.728000000056, 0.0
t2.medium, Linux/UNIX, 388, 5, 130.30910000000043, 129.43680000000052, 0.8722999999999104
d2.8xlarge, Red Hat Enterprise Linux, 304, 1, 16182.527999999993, 13041.023999999916, 3141.504000000077
r4.8xlarge, Red Hat Enterprise Linux, 308, 13, 6014.8704000000125, 3420.8765000000017, 2593.993900000011
d2.8xlarge, Windows, 388, 0, 21734.207999999886, 21734.207999999886, 0.0
m4.large, SUSE Linux, 388, 15, 1273.7069000000001, 1175.4916999999991, 98.215200000001
r5.8xlarge, Windows, 288, 0, 12486.527999999966, 12486.527999999966, 0.0
r5.12xlarge, Windows, 387, 3, 28439.164800000213, 25229.782499999987, 3209.3823000002267
d2.8xlarge, Linux/UNIX, 387, 0, 15380.92800000008, 15380.92800000008, 0.0
d2.xlarge, Red Hat Enterprise Linux, 305, 1, 2349.7199999999975, 1957.0319999999879, 392.68800000000965
d2.xlarge, SUSE Linux, 387, 0, 2851.4159999999883, 2851.4159999999883, 0.0
d2.xlarge, Linux/UNIX, 387, 0, 1922.61600000001, 1922.61600000001, 0.0
m4.16xlarge, SUSE Linux, 387, 13, 12186.944599999986, 8319.373599999926, 3867.57100000006
t2.small, Linux/UNIX, 388, 16, 64.53429999999966, 64.25279999999968, 0.2814999999999799
r5.12xlarge, Red Hat Enterprise Linux, 304, 20, 7290.109000000007, 4665.485800000022, 2624.6231999999845
m4.16xlarge, Red Hat Enterprise Linux, 308, 31, 10199.671999999993, 5453.928699999971, 4745.743300000022
g3s.xlarge, Windows, 301, 0, 2954.615999999986, 2954.615999999986, 0.0
r5.large, Red Hat Enterprise Linux, 305, 73, 690.2759999999975, 595.9416999999994, 94.33429999999805
t2.small, Red Hat Enterprise Linux, 308, 16, 526.310399999999, 494.92559999999787, 31.384800000001178
m4.16xlarge, Linux/UNIX, 387, 47, 11258.144600000001, 5623.504899999987, 5634.639700000014
g4dn.12xlarge, Linux/UNIX, 203, 2, 5717.8878000000095, 5717.77920000001, 0.10859999999956926
r4.8xlarge, SUSE Linux, 388, 15, 6387.532999999996, 5036.520399999989, 1351.0126000000064
t2.micro, Windows, 387, 0, 75.2328000000005, 75.2328000000005, 0.0
m4.16xlarge, Windows, 387, 2, 36283.95160000005, 32939.248900000224, 3344.702699999827
m4.2xlarge, Linux/UNIX, 388, 44, 1427.6556000000016, 783.8483999999997, 643.8072000000019
g3.8xlarge, Windows, 301, 0, 15574.944000000065, 15574.944000000065, 0.0
t3a.2xlarge, Linux/UNIX, 351, 1, 767.9580000000033, 647.8848000000048, 120.07319999999845
r5.large, Linux/UNIX, 388, 75, 345.94449999999966, 200.80329999999955, 145.1412000000001
t3.xlarge, Windows, 387, 0, 1148.017800000004, 1148.017800000004, 0.0
m4.10xlarge, Windows, 387, 2, 23105.757599999848, 20676.45360000002, 2429.303999999829
r5.large, Windows, 388, 2, 1188.2112000000075, 1054.7184000000052, 133.49280000000226
t2.small, Windows, 388, 2, 148.53940000000046, 148.06080000000043, 0.47860000000002856
