Instance, Product/Description, Region, Migrations, SumStartingInstance, DaysStartingInstance, SumMigrations, DaysMigrations, Difference
p3.8xlarge, Red Hat Enterprise Linux, ap-northeast-1, 10, 1850.8715000000088, 317, 1846.2078875000007, 317, 4.663612500008185
p3.8xlarge, Red Hat Enterprise Linux, ap-northeast-2, 4, 1773.7402750000076, 317, 1771.2316291666677, 317, 2.5086458333398696
p3.8xlarge, Red Hat Enterprise Linux, ap-southeast-1, 2, 2135.6833916666637, 326, 1699.0154541666677, 326, 436.667937499996
p3.8xlarge, Red Hat Enterprise Linux, ap-southeast-2, 3, 1214.1545000000003, 230, 1662.283300000001, 316, -448.12880000000064
p3.8xlarge, Red Hat Enterprise Linux, ca-central-1, 0, 1319.8878416666748, 316, 1319.8878416666676, 316, 7.275957614183426e-12
p3.8xlarge, Red Hat Enterprise Linux, eu-central-1, 4, 1528.4522541666568, 323, 1523.7848000000008, 323, 4.6674541666559435
p3.8xlarge, Red Hat Enterprise Linux, eu-west-1, 0, 1323.008000000001, 323, 1323.008000000001, 323, 0.0
p3.8xlarge, Red Hat Enterprise Linux, eu-west-2, 2, 1405.8412124999907, 316, 1403.4307625000001, 316, 2.410449999990533
p3.8xlarge, Red Hat Enterprise Linux, us-east-1, 8, 1236.2754124999988, 325, 1235.6500000000005, 325, 0.6254124999982196
p3.8xlarge, Red Hat Enterprise Linux, us-east-2, 10, 1214.981449999999, 319, 1212.8380000000006, 319, 2.143449999998438
p3.8xlarge, Red Hat Enterprise Linux, us-west-2, 17, 1238.0965583333311, 319, 1217.6486375000006, 319, 20.4479208333305
m4.4xlarge, Windows, ap-northeast-1, 0, 396.8315999999993, 396, 396.8316, 396, -6.821210263296962e-13
m4.4xlarge, Windows, ap-northeast-2, 0, 386.37720000000127, 396, 386.3772, 396, 1.2505552149377763e-12
m4.4xlarge, Windows, ap-south-1, 0, 376.9875083333328, 396, 376.9875083333334, 396, -5.684341886080801e-13
m4.4xlarge, Windows, ap-southeast-1, 0, 390.0995999999972, 396, 390.0995999999998, 396, -2.5579538487363607e-12
m4.4xlarge, Windows, ap-southeast-2, 0, 400.5935999999967, 396, 400.59360000000004, 396, -3.353761712787673e-12
m4.4xlarge, Windows, ca-central-1, 0, 383.050800000002, 396, 383.0508000000001, 396, 1.9326762412674725e-12
m4.4xlarge, Windows, eu-central-1, 0, 396.47519999999884, 396, 396.4752000000002, 396, -1.3642420526593924e-12
m4.4xlarge, Windows, eu-west-1, 0, 400.2768000000014, 396, 400.2768, 396, 1.4210854715202004e-12
m4.4xlarge, Windows, eu-west-2, 0, 390.9708000000015, 396, 390.9708, 396, 1.4779288903810084e-12
m4.4xlarge, Windows, sa-east-1, 2, 416.3818791666634, 396, 416.37990416666673, 396, 0.0019749999966620635
m4.4xlarge, Windows, us-east-1, 0, 394.05959999999783, 396, 394.0596000000002, 396, -2.3874235921539366e-12
m4.4xlarge, Windows, us-east-2, 0, 351.6479999999986, 396, 351.648, 396, -1.4210854715202004e-12
m4.4xlarge, Windows, us-west-1, 1, 304.48199999999997, 310, 388.9511999999998, 396, -84.46919999999983
m4.4xlarge, Windows, us-west-2, 0, 393.4656000000004, 396, 393.4656000000002, 396, 1.7053025658242404e-13
f1.2xlarge, SUSE Linux, ap-southeast-2, 3, 178.49824166666644, 111, 357.4642416666667, 197, -178.96600000000024
f1.2xlarge, SUSE Linux, eu-west-1, 0, 255.2219999999982, 396, 255.22200000000015, 396, -1.9610979506978765e-12
f1.2xlarge, SUSE Linux, us-east-1, 4, 278.935145833334, 396, 235.62000000000012, 396, 43.31514583333387
f1.2xlarge, SUSE Linux, us-west-2, 0, 235.6199999999996, 396, 235.62000000000012, 396, -5.115907697472721e-13
t3a.large, Red Hat Enterprise Linux, ap-northeast-1, 0, 25.653050000000103, 287, 25.653049999999993, 287, 1.1013412404281553e-13
t3a.large, Red Hat Enterprise Linux, ap-northeast-2, 0, 25.27838946078445, 287, 25.278389460784318, 287, 1.3145040611561853e-13
t3a.large, Red Hat Enterprise Linux, ap-south-1, 1, 12.787476785714263, 171, 12.787476785714283, 171, -1.9539925233402755e-14
t3a.large, Red Hat Enterprise Linux, ap-southeast-1, 0, 28.69750000000007, 325, 28.697500000000012, 325, 5.684341886080802e-14
t3a.large, Red Hat Enterprise Linux, ap-southeast-2, 1, 25.393747282608643, 287, 25.3937472826087, 287, -5.684341886080802e-14
t3a.large, Red Hat Enterprise Linux, ca-central-1, 0, 24.417583333333443, 287, 24.417583333333322, 287, 1.2079226507921703e-13
t3a.large, Red Hat Enterprise Linux, eu-central-1, 2, 24.651402173912956, 287, 24.651402173913052, 287, -9.592326932761353e-14
t3a.large, Red Hat Enterprise Linux, eu-west-1, 6, 27.391141666666552, 324, 27.378000000000004, 324, 0.013141666666548701
t3a.large, Red Hat Enterprise Linux, eu-west-2, 1, 24.53309583333326, 287, 24.53309583333332, 287, -6.039613253960852e-14
t3a.large, Red Hat Enterprise Linux, eu-west-3, 1, 24.538499999999928, 287, 24.538499999999985, 287, -5.684341886080802e-14
t3a.large, Red Hat Enterprise Linux, sa-east-1, 1, 19.063083712121152, 198, 19.063083712121212, 198, -6.039613253960852e-14
t3a.large, Red Hat Enterprise Linux, us-east-1, 8, 26.78443749999989, 324, 26.762400000000003, 324, 0.022037499999886023
t3a.large, Red Hat Enterprise Linux, us-east-2, 0, 26.67979999999987, 323, 26.679800000000004, 323, -1.3500311979441904e-13
t3a.large, Red Hat Enterprise Linux, us-west-1, 2, 24.90281032608701, 287, 24.902810326086957, 287, 5.3290705182007514e-14
t3a.large, Red Hat Enterprise Linux, us-west-2, 0, 26.67979999999987, 323, 26.679800000000004, 323, -1.3500311979441904e-13
f1.4xlarge, Linux/UNIX, ap-southeast-2, 1, 178.50044761904743, 111, 282.6207750000002, 197, -104.12032738095277
