InstanceType,ProductDescription,AvailabilityZone,PriceChanges,min,max
p3.8xlarge,Red Hat Enterprise Linux,us-east-2b,0,3.802,3.802
m4.4xlarge,Windows,us-west-1b,0,0.9822,0.9822
f1.2xlarge,SUSE Linux,us-east-1d,0,0.595,0.595
f1.2xlarge,SUSE Linux,us-east-1e,0,0.595,0.595
f1.2xlarge,SUSE Linux,us-west-2a,0,0.595,0.595
f1.2xlarge,SUSE Linux,us-west-2b,0,0.595,0.595
t3a.large,Red Hat Enterprise Linux,ap-southeast-2a,0,0.0885,0.0885
m4.4xlarge,Windows,us-west-1a,0,0.9822,0.9822
m4.4xlarge,Windows,us-east-2c,0,0.888,0.888
f1.4xlarge,Linux/UNIX,eu-west-1a,0,1.089,1.089
f1.4xlarge,Linux/UNIX,eu-west-1b,0,1.089,1.089
f1.4xlarge,Linux/UNIX,eu-west-1c,0,1.089,1.089
t3a.large,Red Hat Enterprise Linux,ap-southeast-1c,0,0.0883,0.0883
t3a.large,Red Hat Enterprise Linux,ap-southeast-1b,0,0.0883,0.0883
f1.4xlarge,Linux/UNIX,us-east-1c,0,0.99,0.99
f1.4xlarge,Linux/UNIX,us-east-1d,0,0.99,0.99
m4.4xlarge,Windows,us-east-2b,0,0.888,0.888
t3a.large,Red Hat Enterprise Linux,ap-southeast-1a,0,0.0883,0.0883
f1.2xlarge,SUSE Linux,us-east-1b,0,0.595,0.595
m4.4xlarge,Windows,us-east-2a,0,0.888,0.888
m4.4xlarge,Windows,us-west-1c,0,0.9822,0.9822
f1.2xlarge,SUSE Linux,eu-west-1b,0,0.6445,0.6445
m4.large,Linux/UNIX,ap-northeast-2a,0,0.03,0.03
r5.xlarge,Windows,us-west-1b,0,0.2517,0.2517
t2.medium,SUSE Linux,us-east-1e,0,0.1139,0.1139
f1.2xlarge,Red Hat Enterprise Linux,eu-west-1a,0,0.6745,0.6745
f1.2xlarge,Red Hat Enterprise Linux,eu-west-1b,0,0.6745,0.6745
f1.2xlarge,Red Hat Enterprise Linux,eu-west-1c,0,0.6745,0.6745
m4.4xlarge,Windows,us-west-2c,0,0.9936,0.9936
f1.2xlarge,Red Hat Enterprise Linux,us-east-1b,0,0.625,0.625
f1.2xlarge,Red Hat Enterprise Linux,us-east-1c,0,0.625,0.625
f1.2xlarge,Red Hat Enterprise Linux,us-east-1d,0,0.625,0.625
f1.2xlarge,Red Hat Enterprise Linux,us-east-1e,0,0.625,0.625
f1.2xlarge,Red Hat Enterprise Linux,us-west-2a,0,0.625,0.625
f1.2xlarge,Red Hat Enterprise Linux,us-west-2b,0,0.625,0.625
